identifier;name;all_names_french;all_names_english;iso_639_2_t;iso_639_2_b;iso_639_1;version
language-1;abkhaze;abkhaze;Abkhazian;abk;;ab;0
language-2;aceh;aceh;Achinese;ace;;;0
language-3;acoli;acoli;Acoli;ach;;;0
language-4;adangme;adangme;Adangme;ada;;;0
language-5;adyghé;adyghé;"Adyghe; Adygei";ady;;;0
language-6;afar;afar;Afar;aar;;aa;0
language-7;afrihili;afrihili;Afrihili;afh;;;0
language-8;afrikaans;afrikaans;Afrikaans;afr;;af;0
language-9;afro-asiatiques, langues;afro-asiatiques, langues;Afro-Asiatic languages;afa;;;0
language-10;aïnou;aïnou;Ainu;ain;;;0
language-11;akan;akan;Akan;aka;;ak;0
language-12;akkadien;akkadien;Akkadian;akk;;;0
language-13;albanais;albanais;Albanian;sqi;alb;sq;0
language-14;alémanique;"suisse alémanique; alémanique; alsacien";"Swiss German; Alemannic; Alsatian";gsw;;;0
language-15;aléoute;aléoute;Aleut;ale;;;0
language-16;algonquines, langues;algonquines, langues;Algonquian languages;alg;;;0
language-17;allemand;allemand;German;deu;ger;de;0
language-18;allemand, bas;"bas allemand; bas saxon; allemand, bas; saxon, bas";"Low German; Low Saxon; German, Low; Saxon, Low";nds;;;0
language-19;allemand, moyen haut (ca. 1050-1500);allemand, moyen haut (ca. 1050-1500);German, Middle High (ca.1050-1500);gmh;;;0
language-20;allemand, vieux haut (ca. 750-1050);allemand, vieux haut (ca. 750-1050);German, Old High (ca.750-1050);goh;;;0
language-21;alsacien;"suisse alémanique; alémanique; alsacien";"Swiss German; Alemannic; Alsatian";gsw;;;0
language-22;altai du Sud;altai du Sud;Southern Altai;alt;;;0
language-23;altaïques, langues;altaïques, langues;Altaic languages;tut;;;0
language-24;amazighe standard marocain;amazighe standard marocain;Standard Moroccan Tamazight;zgh;;;0
language-25;amérindiennes de l'Amérique centrale, langues;amérindiennes de l'Amérique centrale, langues;Central American Indian languages;cai;;;0
language-26;amharique;amharique;Amharic;amh;;am;0
language-27;angika;angika;Angika;anp;;;0
language-28;anglais;anglais;English;eng;;en;0
language-29;anglais moyen (1100-1500);anglais moyen (1100-1500);English, Middle (1100-1500);enm;;;0
language-30;anglo-saxon (ca.450-1100);anglo-saxon (ca.450-1100);English, Old (ca.450-1100);ang;;;0
language-31;apaches, langues;apaches, langues;Apache languages;apa;;;0
language-32;arabe;arabe;Arabic;ara;;ar;0
language-33;aragonais;aragonais;Aragonese;arg;;an;0
language-34;araméen d'empire (700-300 BCE);araméen d'empire (700-300 BCE);"Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE)";arc;;;0
language-35;arapaho;arapaho;Arapaho;arp;;;0
language-36;arawak;arawak;Arawak;arw;;;0
language-37;arménien;arménien;Armenian;hye;arm;hy;0
language-38;aroumain;"aroumain; macédo-roumain";"Aromanian; Arumanian; Macedo-Romanian";rup;;;0
language-39;artificielles, langues;artificielles, langues;Artificial languages;art;;;0
language-40;assamais;assamais;Assamese;asm;;as;0
language-41;asturien;"asturien; bable; léonais; asturoléonais";"Asturian; Bable; Leonese; Asturleonese";ast;;;0
language-42;asturoléonais;"asturien; bable; léonais; asturoléonais";"Asturian; Bable; Leonese; Asturleonese";ast;;;0
language-43;athapascanes, langues;athapascanes, langues;Athapascan languages;ath;;;0
language-44;australiennes, langues;australiennes, langues;Australian languages;aus;;;0
language-45;austronésiennes, langues;austronésiennes, langues;Austronesian languages;map;;;0
language-46;avar;avar;Avaric;ava;;av;0
language-47;avestique;avestique;Avestan;ave;;ae;0
language-48;awadhi;awadhi;Awadhi;awa;;;0
language-49;aymara;aymara;Aymara;aym;;ay;0
language-50;azéri;azéri;Azerbaijani;aze;;az;0
language-51;bable;"asturien; bable; léonais; asturoléonais";"Asturian; Bable; Leonese; Asturleonese";ast;;;0
language-52;bachkir;bachkir;Bashkir;bak;;ba;0
language-53;balinais;balinais;Balinese;ban;;;0
language-54;baloutchi;baloutchi;Baluchi;bal;;;0
language-55;baltes, langues;baltes, langues;Baltic languages;bat;;;0
language-56;bambara;bambara;Bambara;bam;;bm;0
language-57;bamiléké, langues;bamiléké, langues;Bamileke languages;bai;;;0
language-58;banda, langues;banda, langues;Banda languages;bad;;;0
language-59;bantou, langues;bantou, langues;Bantu languages;bnt;;;0
language-60;bas allemand;"bas allemand; bas saxon; allemand, bas; saxon, bas";"Low German; Low Saxon; German, Low; Saxon, Low";nds;;;0
language-61;bas saxon;"bas allemand; bas saxon; allemand, bas; saxon, bas";"Low German; Low Saxon; German, Low; Saxon, Low";nds;;;0
language-62;bas-sorabe;bas-sorabe;Lower Sorbian;dsb;;;0
language-63;basa;basa;Basa;bas;;;0
language-64;basque;basque;Basque;eus;baq;eu;0
language-65;batak, langues;batak, langues;Batak languages;btk;;;0
language-66;bedja;bedja;"Beja; Bedawiyet";bej;;;0
language-67;bemba;bemba;Bemba;bem;;;0
language-68;bengali;bengali;Bengali;ben;;bn;0
language-69;berbères, langues;berbères, langues;Berber languages;ber;;;0
language-70;bhojpuri;bhojpuri;Bhojpuri;bho;;;0
language-71;bichlamar;bichlamar;Bislama;bis;;bi;0
language-72;biélorusse;biélorusse;Belarusian;bel;;be;0
language-73;bikol;bikol;Bikol;bik;;;0
language-74;bilen;"blin; bilen";"Blin; Bilin";byn;;;0
language-75;bini;"bini; edo";"Bini; Edo";bin;;;0
language-76;birman;birman;Burmese;mya;bur;my;0
language-77;blackfoot;blackfoot;Siksika;bla;;;0
language-78;blin;"blin; bilen";"Blin; Bilin";byn;;;0
language-79;Bliss;"symboles Bliss; Bliss";"Blissymbols; Blissymbolics; Bliss";zbl;;;0
language-80;bokmål, norvégien;norvégien bokmål;"Bokmål, Norwegian; Norwegian Bokmål";nob;;nb;0
language-81;bosniaque;bosniaque;Bosnian;bos;;bs;0
language-82;bouriate;bouriate;Buriat;bua;;;0
language-83;braj;braj;Braj;bra;;;0
language-84;breton;breton;Breton;bre;;br;0
language-85;bugi;bugi;Buginese;bug;;;0
language-86;bulgare;bulgare;Bulgarian;bul;;bg;0
language-87;caddo;caddo;Caddo;cad;;;0
language-88;carélien;carélien;Karelian;krl;;;0
language-89;carib;"karib; galibi; carib";Galibi Carib;car;;;0
language-90;castillan;"espagnol; castillan";"Spanish; Castilian";spa;;es;0
language-91;catalan;"catalan; valencien";"Catalan; Valencian";cat;;ca;0
language-92;caucasiennes, langues;caucasiennes, langues;Caucasian languages;cau;;;0
language-93;cebuano;cebuano;Cebuano;ceb;;;0
language-94;celtes, langues;"celtiques, langues; celtes, langues";Celtic languages;cel;;;0
language-95;celtiques, langues;"celtiques, langues; celtes, langues";Celtic languages;cel;;;0
language-96;chames, langues;chames, langues;Chamic languages;cmc;;;0
language-97;chamorro;chamorro;Chamorro;cha;;ch;0
language-98;chan;chan;Shan;shn;;;0
language-99;cherokee;cherokee;Cherokee;chr;;;0
language-100;chewa;"chichewa; chewa; nyanja";"Chichewa; Chewa; Nyanja";nya;;ny;0
language-101;cheyenne;cheyenne;Cheyenne;chy;;;0
language-102;chibcha;chibcha;Chibcha;chb;;;0
language-103;chichewa;"chichewa; chewa; nyanja";"Chichewa; Chewa; Nyanja";nya;;ny;0
language-104;chinois;chinois;Chinese;zho;chi;zh;0
language-105;chinook, jargon;chinook, jargon;Chinook jargon;chn;;;0
language-106;chipewyan;chipewyan;"Chipewyan; Dene Suline";chp;;;0
language-107;choctaw;choctaw;Choctaw;cho;;;0
language-108;chuang;"zhuang; chuang";"Zhuang; Chuang";zha;;za;0
language-109;chuuk;chuuk;Chuukese;chk;;;0
language-110;copte;copte;Coptic;cop;;;0
language-111;coréen;coréen;Korean;kor;;ko;0
language-112;cornique;cornique;Cornish;cor;;kw;0
language-113;corse;corse;Corsican;cos;;co;0
language-114;couchitiques, langues;couchitiques, langues;Cushitic languages;cus;;;0
language-115;cree;cree;Cree;cre;;cr;0
language-116;créole haïtien;"haïtien; créole haïtien";"Haitian; Haitian Creole";hat;;ht;0
language-117;créoles et pidgins;créoles et pidgins;Creoles and pidgins;crp;;;0
language-118;créoles et pidgins basés sur l'anglais;créoles et pidgins basés sur l'anglais;Creoles and pidgins, English based;cpe;;;0
language-119;créoles et pidgins basés sur le français;créoles et pidgins basés sur le français;Creoles and pidgins, French-based;cpf;;;0
language-120;créoles et pidgins basés sur le portugais;créoles et pidgins basés sur le portugais;Creoles and pidgins, Portuguese-based;cpp;;;0
language-121;croate;croate;Croatian;hrv;;hr;0
language-122;dakota;dakota;Dakota;dak;;;0
language-123;danois;danois;Danish;dan;;da;0
language-124;dargwa;dargwa;Dargwa;dar;;;0
language-125;dayak, langues;dayak, langues;Land Dayak languages;day;;;0
language-126;delaware;delaware;Delaware;del;;;0
language-127;dimili;"zaza; dimili; dimli; kirdki; kirmanjki; zazaki";"Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki";zza;;;0
language-128;dimli;"zaza; dimili; dimli; kirdki; kirmanjki; zazaki";"Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki";zza;;;0
language-129;dinka;dinka;Dinka;din;;;0
language-130;dioula;dioula;Dyula;dyu;;;0
language-131;djaghataï;djaghataï;Chagatai;chg;;;0
language-132;dogri;dogri;Dogri;doi;;;0
language-133;dogrib;dogrib;Dogrib;dgr;;;0
language-134;douala;douala;Duala;dua;;;0
language-135;dravidiennes, langues;dravidiennes, langues;Dravidian languages;dra;;;0
language-136;dzongkha;dzongkha;Dzongkha;dzo;;dz;0
language-137;écossais;écossais;Scots;sco;;;0
language-138;edo;"bini; edo";"Bini; Edo";bin;;;0
language-139;efik;efik;Efik;efi;;;0
language-140;égyptien;égyptien;Egyptian (Ancient);egy;;;0
language-141;ekajuk;ekajuk;Ekajuk;eka;;;0
language-142;élamite;élamite;Elamite;elx;;;0
language-143;erza;erza;Erzya;myv;;;0
language-144;esclave (athapascan);esclave (athapascan);Slave (Athapascan);den;;;0
language-145;espagnol;"espagnol; castillan";"Spanish; Castilian";spa;;es;0
language-146;espéranto;espéranto;Esperanto;epo;;eo;0
language-147;estonien;estonien;Estonian;est;;et;0
language-148;éwé;éwé;Ewe;ewe;;ee;0
language-149;éwondo;éwondo;Ewondo;ewo;;;0
language-150;fang;fang;Fang;fan;;;0
language-151;fanti;fanti;Fanti;fat;;;0
language-152;féroïen;féroïen;Faroese;fao;;fo;0
language-153;fidjien;fidjien;Fijian;fij;;fj;0
language-154;filipino;"filipino; pilipino";"Filipino; Pilipino";fil;;;0
language-155;finno-ougriennes, langues;finno-ougriennes, langues;Finno-Ugrian languages;fiu;;;0
language-156;finnois;finnois;Finnish;fin;;fi;0
language-157;flamand;"néerlandais; flamand";"Dutch; Flemish";nld;dut;nl;0
language-158;fon;fon;Fon;fon;;;0
language-159;français;français;French;fra;fre;fr;0
language-160;français ancien (842-ca.1400);français ancien (842-ca.1400);French, Old (842-ca.1400);fro;;;0
language-161;français moyen (1400-1600);français moyen (1400-1600);French, Middle (ca.1400-1600);frm;;;0
language-162;frioulan;frioulan;Friulian;fur;;;0
language-163;frison occidental;frison occidental;Western Frisian;fry;;fy;0
language-164;frison oriental;frison oriental;Eastern Frisian;frs;;;0
